train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;BA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7212.513991735823;0.08687497654110021;36.36363636363637;-4.645524825674295;199017.0885115405;1.6854189411052263;70759.97840931953;80336.95916979543;75375.01951300667;70830.41907497654;78986.64462025928;78641.10034037888;72570.47118881796;78482.16471998258;76688.30220809845;72645.46811781081;80123.05554104118;74982.27838043754;[8950.568690680462, -12577.410259795433, -6301.666253006668, 7392.359915023466, -1829.548610259284, 507.9594396211178, -739.6016188179638, -6705.1864599825785, -7909.242428098456, -2593.955437810815, -9371.017501041177, -9239.582730437542];-1.6413680069214658;0.4615460590614241;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;BA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6840.158104263214;0.06981704775169854;45.45454545454545;-4.633467710708835;161765.27523394616;inf;77238.4826364451;81392.566465781;79593.31608442492;74391.3034580515;81445.9482213088;80638.12098688602;77048.50076983489;81572.86354466608;81466.36154241077;77608.55157461813;81363.15734317277;78056.80433049143;[2210.5807735549024, -12525.265745780998, 926.2056555750751, 4209.723711948507, 675.7438086912007, -695.686206886021, -870.2362798348913, -8966.133474666072, -4975.113352410772, 557.9864653818659, -8486.925463172767, -14209.999980491433];-1.2701110027148899;0.6427332532264114;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;BA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;6036.594470285959;0.06934224548823795;54.54545454545455;-2.477992759356532;118997.26013028498;1.3711911691962448;84048.9175702369;81316.08305738536;82799.97458020109;76845.32069310636;80606.25659907373;82672.4962119132;80105.77726243969;84689.50302296627;82503.73583535627;78456.01803755062;82080.67235596752;81217.91274082048;[-5290.609600236901, -3944.7406673853548, -3178.637620201087, 8944.673876893634, 6654.096660926269, 3803.915018086802, -1375.3153024396888, -8117.832732966272, -6324.416995356267, 1582.9928324493812, -7796.641555967522, -8590.343900820473];-0.4699467773939864;0.897748960697274;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;BA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;7549.034497537491;0.07440210977141519;36.36363636363637;6.772751399739124;208261.57396483741;0.9908531160097364;76978.71701390756;78754.04346429724;77294.25752624203;71129.71409520514;77554.41544597007;78080.5484546595;73499.1043275127;76217.11337181677;81046.98696969959;76519.94604957299;76180.11307917358;75013.56563396018;[3494.447846092444, 870.7482057027664, 2925.6518937579676, 13706.447134794857, 12002.383464029932, 8268.2486453405, 10354.745312487299, 7633.361268183231, -1862.0050896995817, 8922.303950427013, 2785.0916308264277, -2391.266723960187];-0.9410999725118869;0.7741365765884174;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;BA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;4679.106529344541;0.05537790072099156;45.45454545454545;1.4750399108898535;110628.74040827787;0.9944875698990927;76937.75846878593;76843.84294713462;75291.50823272689;71427.29957377886;77863.59458030779;78254.43040693967;73618.72467599828;75213.10387194395;76509.40635801991;74561.09256570991;77070.19280849838;74568.51960707054;[-6668.032018785932, -3028.727007134614, 1239.5932172731118, 2616.3652862211457, 7144.905419692208, 5921.4844530603295, 4117.748154001718, 6329.522938056049, -2109.0603480199206, 5146.421924290087, -2738.3486084983742, -4375.6083770705445];-1.1266751987900343;0.7043177789137396;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;BA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5554.641643809553;0.053870083417950416;45.45454545454545;0.23249517462138594;131325.22701569382;1.2008240519203381;76170.26021145399;78289.39355131143;74177.61612397448;69941.741192868;75963.39502186775;76477.5604430115;75130.36530726442;76569.02646877167;76805.76069717189;74107.08782563474;76930.15252448614;75157.20199037292;[-631.37072145399, -4679.696091311431, -4794.57264397449, 13834.787797132012, 5182.871278132254, 5358.046436988501, -261.7946572644287, -328.6858887716662, -1744.6864171718917, 1354.6603643652634, -3303.5402044861403, -7875.3577903729165];-1.0343277065879364;0.7405391203431054;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;BA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5920.28847710884;0.06920289558551442;45.45454545454545;2.457763059644887;140009.59170187637;2.095628858037419;71228.94429887834;76205.30326776527;73147.41713691721;69947.20866332212;74499.4939480464;74505.80115103438;71766.50200738732;75574.8183423336;75975.37413307161;71988.78734617312;77033.54799353465;72806.4449959549;[7763.465041121657, -8381.747107765274, 2804.53214308279, 6465.67342667788, 6293.38648195361, 9516.29512896562, 7149.067552612687, 727.8894976664014, -1956.4083530716161, 1878.1547538268787, -4104.163933534655, -5864.950425954899];-1.1866198132130334;0.6793248845388369;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;BA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5104.070925550363;0.06427594312272747;27.272727272727273;0.11273149742490868;160880.63071741918;1.5359903589550887;70104.50610127946;75336.3976998481;75133.03923657846;70079.40960651834;74145.98518596095;73446.22865434909;72166.86857563588;76137.98779810965;77060.84834219496;70644.29411462863;74766.47634142783;72825.83926078374;[2156.637018720532, -4888.0679898480885, -2494.2294565784687, 3392.193653481663, 4274.261194039049, 8207.601055650914, 4616.34156436412, -2779.022218109647, -4741.446172194963, 6068.870745371372, -4148.784311427822, -8669.112810783743];-1.1721164032407934;0.6854740760736734;14;298;-3.4524859843440754;-2.871288184343229;-2.571964047565425;False
1990-01_2015-02;2015-03_2016-02;BA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5729.977339224437;0.06756120582483306;27.272727272727273;-2.9664636687711967;180617.24599910862;1.393705259721397;75892.46611067864;76161.58613645061;76907.19113881512;71772.41249005943;74886.1424348008;77553.0254555786;73842.0997002269;78919.27044065624;79106.26164087527;73632.10388457455;76389.03979707698;76192.91371483367;[-2343.8012506786326, -4908.499176450612, -3482.555268815122, 5236.553089940571, 7429.011555199206, 2720.784324421402, 874.9709497730946, -4880.313920656234, -10237.750770875267, -374.154604574549, -8351.929287076986, -7935.556834833667];-0.6704259232444619;0.8542619129024114;14;286;-3.4534232986669546;-2.8716994185534745;-2.5721833625116144;False
1990-01_2014-02;2014-03_2015-02;BA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;5548.536683886216;0.06188095699259385;45.45454545454545;4.052469844764767;131200.3283530215;1.8146048359119449;73347.10779118512;73530.29257395065;74040.48599084844;67113.30656228129;71768.43049098854;75670.59882535576;71107.74838638424;73572.62989051663;75364.76333446344;72329.066540041;73931.63938343445;73507.98216193826;[1883.1168488148833, 551.765396049348, 4335.410749151561, 7820.325687718709, 10322.79414901146, 4294.716394644245, 6650.608493615771, 4179.339309483374, -3166.5622444634355, 6587.721499958992, 250.53996656555682, -6741.0057119382545];-0.6367569957080076;0.8624583031243356;14;274;-3.4544435065994437;-2.8721468827772774;-2.572422013959188;False
