train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;MA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1657.6842534424304;0.04448906700399514;54.54545454545455;4.187517243561058;32660.006987349185;0.9564444226661533;28191.0653934506;25748.061076179118;25602.252213345928;24478.721332781195;25769.189234743673;26851.300888856604;26110.4593915007;27000.393309935345;25547.107794908083;25822.887968661205;24694.627374105832;26320.757233247183;[994.5940265493991, 15.455223820881656, 1783.385466654072, 2914.534097218806, 1279.770905256326, 1526.3567211433947, -418.459391500699, 11.253430064654822, 714.3451050919175, 1205.4181913387947, 3765.872625894168, -150.48006324718153];-0.12695688928142865;0.9466864461080281;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;False
1990-01_2022-02;2022-03_2023-02;MA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1245.9208359065567;0.03756321827543836;72.72727272727273;2.8167648119446262;14734.332962453533;inf;25989.15756669723;25076.37612752057;26239.001418114098;24617.08551820965;25086.227753024035;25635.55804203317;25322.167247654346;25777.983140005912;24789.82956447526;25387.97819582477;25167.27836225686;24935.087199885293;[725.9167133027695, 582.6981524794319, -380.6119281140964, 1236.157231790352, 184.91173697596605, 1952.1720279668298, -71.46434765434606, -492.5845900059103, 2499.8443455247398, 1866.9529641752306, 1356.4734477431412, -648.6234298852942];-0.7971818746096035;0.8199484693291135;17;367;-3.448294490928673;-2.869447722240253;-2.570982681065269;False
1990-01_2021-02;2021-03_2022-02;MA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1221.4726412057248;0.038864982708539254;72.72727272727273;-2.2847054274396714;14445.919774438344;0.8282121544339995;27892.610853639835;25119.874728116563;25865.273844354822;25337.771938328173;25060.276183110193;26259.533601461753;25939.285188741338;26749.82190047898;25645.475543987173;25957.672234875947;25367.869310265534;25831.325880991943;[-192.20505363983466, 383.96404188343513, 131.79680564517912, 63.11212167182748, 1683.6386768898083, -867.4883114617551, -1676.779758741337, -1722.4269704789804, -1714.182063987173, 40.474505124053394, -965.0323502655338, -2112.191820991942];-0.13673876268169577;0.9456540217038822;17;355;-3.448905534655263;-2.8697161816205705;-2.5711258103550882;False
1990-01_2020-02;2020-03_2021-02;MA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;2201.050219723517;0.07533928289097461;54.54545454545455;7.476759227438763;43395.2284541432;2.3934963847762245;25111.475368817715;24413.73188207413;23801.577115791086;23344.87395585952;23694.147185737515;24468.640982550347;24445.736593860383;24457.696910134637;23250.551391680216;23780.58345813376;23636.318453152235;24121.467205747995;[1584.370641182286, 1518.9601479258672, 2763.9319442089145, 3289.0626341404823, 3500.8799842624867, 1854.1633674496516, 1313.267026139616, 1110.440769865363, 1837.9558583197831, 3203.420161866241, 1583.9931368477664, -244.73169574799613];-0.42839321435859395;0.9052491030518469;17;343;-3.449559661646851;-2.8700035112469626;-2.5712790073013796;False
1990-01_2019-02;2019-03_2020-02;MA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1059.095900085548;0.03589254157707394;54.54545454545455;1.2799284210422508;20862.711262600697;0.4528396889219632;25096.526184389346;23234.59387360019;23368.14123154487;22788.724728728346;24092.982208989648;25091.503430523106;23991.059261321207;24613.26117571856;22866.268445284088;23516.71406519135;23572.489756799747;23672.886100455806;[-1687.0153143893476, 1389.9278663998084, 1044.5018884551318, -231.57617872834453, 1157.5377210103507, -777.142920523107, -352.7204913212081, 20.85839428144027, 498.3257547159119, 2044.3276048086482, 956.2167632002529, -356.4150904558046];-0.41347838524994157;0.907823930067831;17;331;-3.4502615951739393;-2.8703117734117742;-2.5714433728242714;False
1990-01_2018-02;2018-03_2019-02;MA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1131.4683900071122;0.03967115138618037;81.81818181818181;1.8830724969808772;8927.752178055343;0.44560004640325435;25094.91750413452;23807.39191689965;23099.96342546244;22883.484899568815;22702.54610860733;23791.464668010252;23234.893435659018;24046.620337978224;22829.571594965233;23088.49349294989;23689.11285168686;23288.964525033065;[-1167.4428641345185, 811.7620731003481, -910.3800954624385, 2393.210750431186, 1177.459321392671, 1739.8088819897494, -323.4785756590172, -6.388457978224324, 764.2146350347684, 837.5970870501114, 742.6208483131413, -655.2978550330663];-0.8046494279203464;0.8177525167404776;17;319;-3.4510167751522642;-2.87064334231426;-2.5716201744283174;False
1990-01_2017-02;2017-03_2018-02;MA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1310.0056530099464;0.04939419198036237;72.72727272727273;2.582787609403632;15499.031781676567;0.47910493791993736;23882.75247506291;23661.5060160034;22752.78996258625;22012.574798867092;22234.552284466125;24357.91217284131;22807.021777704347;23371.85059811228;22749.515643876628;22807.09645197713;22283.93705797008;23040.538221393006;[2078.8112349370895, -968.6600060033998, 2181.3748974137525, 1508.8110211329076, 1889.0491655338737, 852.6045471586913, 708.9479822956528, -717.397068112281, -467.219953876629, 802.2829780228712, 716.8220020299195, -1268.9440213930066];-0.7622873715663502;0.8299497100397949;17;307;-3.4518314994261337;-2.8710009653519166;-2.571810878948318;False
1990-01_2016-02;2016-03_2017-02;MA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1136.6686139941824;0.03657089711786652;54.54545454545455;0.04712871141574173;22391.0809631124;0.2797228044764658;22905.541929742736;23068.01946367362;23755.50942806467;23006.845080356677;22221.44510724256;22865.663044308043;23065.468169612926;22966.305202252453;23308.30740406631;23039.91552018052;23083.47908991149;22801.836834012447;[1166.9218402572624, -538.4361336736183, -330.5782680646698, 38.4846296433243, -273.0048872425614, 2699.699275691957, -286.4337496129265, -588.325132252452, -934.7331240663079, 1281.2964398194817, -271.2127899114894, -1833.4998740124465];-1.0530741434426778;0.7334182623573714;14;298;-3.4524859843440754;-2.871288184343229;-2.571964047565425;False
1990-01_2015-02;2015-03_2016-02;MA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;970.434546916577;0.03421784355668416;63.63636363636363;-1.47605725965159;15295.298766852971;0.2541915489477759;24311.053985794275;23554.724070839828;23423.060035700233;23115.42985537613;22690.70425883561;23810.60273142665;23260.09601007025;23600.160579521613;23346.970261129583;23303.870377256157;22775.773205222515;23358.132556978882;[-30.342025794274377, 483.89005916017413, -509.47670570023183, 137.12630462387096, 1497.7196511643924, -405.7078014266517, -943.09963007025, -396.9105795216128, -2153.0046811295833, 462.78361274384224, -1184.140955222516, -1039.6887169788824];-0.3902733057464463;0.9117101638770599;14;286;-3.4534232986669546;-2.8716994185534745;-2.5721833625116144;False
1990-01_2014-02;2014-03_2015-02;MA;glp;ARIMA;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";36;12;1188.7824478563334;0.043489193170976666;36.36363636363637;1.1635252379317464;32780.905656368406;0.3760611092732982;24679.717598858213;22714.02955613223;22909.039445486786;22984.50720323612;22621.892864262732;23073.425365694267;23025.912118996675;23453.992843647386;22712.436332968024;22993.350666164617;22794.660869580915;22969.908121529126;[-1512.7882488582145, 1352.5447238677698, 721.8536745132151, -1228.9220632361212, 2282.282855737267, 190.15977430573184, 259.28353100332606, 437.6647663526128, -676.6573429680248, 1749.5732438353843, 774.4985504190845, -1089.3773215291258];0.1218963664471182;0.9675246526312486;14;274;-3.4544435065994437;-2.8721468827772774;-2.572422013959188;False
