train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series
1990-01_2023-02;2023-03_2024-02;BA;oleodiesel;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;32391.327986250104;0.10037260687757325;72.72727272727273;9.356472549392;383932.3548250494;1.1080468755567912;260059.56779192144;261489.90095292006;265433.5197358059;262447.60640286066;272485.68909350125;283564.3534695895;279068.0523654848;277785.12451036007;267854.9358566813;264186.2658120965;257945.1169670208;255749.62219172544;[40516.632208078576, 8799.418047079962, 43340.740264194086, 26715.874597139366, 28430.84990649874, 32295.148530410486, 19167.412634515204, 34243.45748963993, 48312.47914331866, 43093.357187903544, 21518.396032979188, -15288.041191725439]
1990-01_2022-02;2022-03_2023-02;BA;oleodiesel;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;19629.066255774967;0.06437912076790218;54.54545454545455;-4.69564539846254;386895.51230236766;inf;276263.7898468998;273873.3346856514;280814.71634878626;282727.36595159594;285885.5432567668;292413.66834623105;292208.2735655729;295256.48830018716;283413.23129556293;273339.7841612268;266043.7622786251;261385.68642616182;[5804.4611531001865, -7123.625685651437, -16859.657348786248, -33137.99395159594, -2942.98825676681, 18781.416653768974, -9531.470565572905, -21365.53030018718, -29116.24229556293, -3049.3071612268104, -29502.67627862509, -22816.46442616181]
1990-01_2021-02;2021-03_2022-02;BA;oleodiesel;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;19338.931693785515;0.05510503712070578;63.63636363636363;5.078538953344384;304971.5197721201;1.0662243302596732;256336.5088123412;259566.23652703632;261884.90867596978;273667.3390478041;276828.72656144167;280299.1717500149;277057.33453350246;279400.03452689847;264617.2542570805;253877.00914736034;254348.55414794825;243915.39826242474;[40850.2411876588, 23474.082472963695, 23144.337324030203, -467.8230478041223, 25375.799438558344, 16553.667249985097, 10897.775466497522, 20562.91047310154, 8386.083742919494, 11087.748852639634, -8882.780147948244, -747.7532624247542]
1990-01_2020-02;2020-03_2021-02;BA;oleodiesel;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;25652.226806028568;0.08254654518502463;72.72727272727273;-3.000332593930894;303856.24508864625;0.8423247868652296;262082.40876217015;265630.26278850605;266649.55142824334;273366.89222981234;274780.0091089549;278463.095374156;274835.3366356815;278135.6891830136;272254.2620463992;260843.22625617587;257874.90577709483;252575.12552043019;[-13567.644762170152, -52618.59678850605, -43234.328428243345, -31743.57922981234, -6372.228108954907, 1264.1066258439678, 12225.668364318495, 31218.219816986413, 1493.3959536008188, 21161.67074382413, 6616.828222905169, -20166.922520430177]
1990-01_2019-02;2019-03_2020-02;BA;oleodiesel;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;15660.474517698736;0.04804461127544801;63.63636363636363;-2.5959879042022638;246915.0789222505;0.9458393082091172;245882.36242411647;258270.7435890352;266094.42788224935;278494.08895198506;275069.04920551175;276006.3906092133;276381.6917296194;281035.93659639015;277727.8281540424;265492.20936732786;264980.50858677854;262536.31615683535;[4041.982575883536, 12905.107410964818, -2244.0528822493507, -36297.18795198505, -847.6632055117516, 6632.227390786691, -11701.130729619414, 8537.694403609843, -10203.576154042443, -8367.593367327849, -17877.90158677855, -26255.321156835358]
1990-01_2018-02;2018-03_2019-02;BA;oleodiesel;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;23837.179627684116;0.07512092584414494;72.72727272727273;1.596700152172104;282279.94922714634;0.9561669526287928;236861.01607305495;249559.03710938492;261401.6909926083;258814.90470545192;258609.54138858174;264081.77723769285;259451.36718017043;261871.33583700235;258276.23086725562;251668.70279997948;250202.0591597834;248974.00136993956;[28380.649926945072, 14117.518890615058, -60978.75999260828, 21335.987294548075, 12359.648611418263, 23132.31076230714, 1380.2628198295715, 20814.28116299768, 13814.738132744358, -1150.8877999794786, -6906.573159783409, -16651.066369939566]
1990-01_2017-02;2017-03_2018-02;BA;oleodiesel;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;20115.2769531632;0.06788140956745806;63.63636363636363;5.278362548963181;317325.79742085614;1.1663814035083075;228333.7274826386;235705.89112548952;245197.08424997464;243681.32640450567;242271.55945054643;250251.1889812595;249337.57658925798;248899.70437839875;246209.57120706313;240251.98181640165;238516.42382042494;240258.88299606516;[40956.441817361396, 13527.04617451047, 13816.279050025361, 8424.20119549433, 18104.216749453568, 24533.89521874048, 13605.210510742036, 26362.55292160125, 17440.977592936862, 5352.906983598339, 3954.388179575064, -23978.853996065154]
1990-01_2016-02;2016-03_2017-02;BA;oleodiesel;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;15534.591167651997;0.051564519861833615;45.45454545454545;-3.351751224874148;367257.6371848022;0.6142661631407457;248876.7658717679;254289.42722728767;262011.97223886035;261596.0383226969;255880.25092817206;261560.72394795917;269119.7989386873;263401.4520563424;254802.97417494847;249548.3085522726;243966.6165027255;247898.36114903982;[11205.029128232127, 8584.218772712338, -9819.244238860352, -22418.812322696904, -9843.377928172064, 3700.506052040815, -22393.967938687303, -2904.859056342393, -7496.298174948461, 230.77844772741082, -13190.335402725497, -35311.09664903983]
1990-01_2015-02;2015-03_2016-02;BA;oleodiesel;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;29322.94747920277;0.102224807068117;63.63636363636363;-9.700303790421016;463016.2598949874;2.497804342672338;295932.1496077831;295072.21688144514;294238.496286987;294228.1714490275;291984.16666387994;290788.0490947311;293905.23604154895;294731.43479484273;283232.3774653525;280248.82059151743;277631.1392448013;273782.4057756616;[-21668.974207783118, -20812.368881445145, -30519.107286986953, -29128.952449027507, -8911.910463879933, -9913.859194731107, -15608.715241548955, -14324.07589484274, -23981.902565352473, -23314.695991517423, -57887.093244801305, -50391.188775661576]
1990-01_2014-02;2014-03_2015-02;BA;oleodiesel;SWT_ridge_bior2.2;"{'alphas': array([1.00000000e-03, 4.64158883e-03, 2.15443469e-02, 1.00000000e-01,
       4.64158883e-01, 2.15443469e+00, 1.00000000e+01, 4.64158883e+01,
       2.15443469e+02, 1.00000000e+03])}";60;12;23885.869192799164;0.07061293559299621;81.81818181818181;0.3602220056308317;188783.3475008843;0.831847882463072;291295.78487424715;286469.26812717627;283715.2019460722;283115.44025355065;284029.790956879;284038.1228434509;283166.39235416584;284250.5028379856;281153.9785189276;279044.95917109045;278709.9245901111;276583.4240105764;[-21510.368874247128, 23629.621872823744, 17811.82605392777, -17507.274253550626, 6448.085043121013, 15490.393156549078, 25349.407645834144, 33068.84216201439, -4004.8905189275974, -2244.2061710904236, -8692.176490111102, -55563.4390105764]
